Recency,Frequency,AOV,Monetary,Avg_Order_Gap,Predicted_AOV,Predicted_LTV,LTV_Segment
2,7,615.7142857142857,4310.0,0.2857142857142857,607.06256,4249.437927246094,High Value
75,4,449.31,1797.24,18.75,445.86356,1783.4542236328125,High Value
19,1,1757.55,1757.55,19.0,1754.4692,1754.46923828125,High Value
310,1,334.4,334.4,310.0,332.46112,332.46112060546875,High Value
36,8,313.255,2506.04,4.5,307.39417,2459.1533203125,High Value
204,1,89.0,89.0,204.0,90.01578,90.01577758789062,Medium Value
232,1,1079.4,1079.4,232.0,1080.8209,1080.8209228515625,High Value
214,1,459.4,459.4,214.0,461.89584,461.8958435058594,High Value
23,3,937.1433333333333,2811.43,7.666666666666667,939.31915,2817.9574584960938,High Value
2,2,584.03,1168.06,1.0,579.3179,1158.6357421875,High Value
58,4,1593.145,6372.58,14.5,1595.329,6381.31591796875,High Value
52,3,887.3533333333334,2662.06,17.333333333333332,908.84656,2726.5396728515625,High Value
287,1,189.9,189.9,287.0,191.46674,191.46673583984375,High Value
3,10,522.6229999999999,5226.23,0.3,528.8633,5288.6328125,High Value
110,2,276.0,552.0,55.0,277.39603,554.7920532226562,High Value
8,4,328.275,1313.1,2.0,323.66016,1294.640625,High Value
291,2,320.69,641.38,145.5,321.26093,642.5218505859375,High Value
4,1,168.9,168.9,4.0,171.00008,171.0000762939453,High Value
51,4,886.4225,3545.69,12.75,890.3527,3561.410888671875,High Value
45,2,943.98,1887.96,22.5,949.83,1899.6600341796875,High Value
72,3,432.68,1298.04,24.0,435.4359,1306.3077392578125,High Value
311,1,364.6,364.6,311.0,362.9689,362.9689025878906,High Value
25,1,742.9300000000001,742.9300000000001,25.0,743.7354,743.7354125976562,High Value
11,2,228.75,457.5,5.5,231.76022,463.52044677734375,High Value
315,2,814.06,1628.12,157.5,815.5795,1631.1590576171875,High Value
82,2,426.12,852.24,41.0,424.63535,849.2706909179688,High Value
22,4,681.2025,2724.81,5.5,695.68567,2782.74267578125,High Value
5,5,369.062,1845.31,1.0,368.68478,1843.4239196777344,High Value
185,5,370.11199999999997,1850.56,37.0,368.7731,1843.8655090332031,High Value
29,2,292.635,585.27,14.5,296.5753,593.1505737304688,High Value
338,2,200.95,401.9,169.0,203.92609,407.8521728515625,High Value
16,6,463.4433333333333,2780.66,2.6666666666666665,463.53476,2781.2085571289062,High Value
80,1,549.84,549.84,80.0,546.37714,546.3771362304688,High Value
22,1,460.89,460.89,22.0,461.94363,461.9436340332031,High Value
72,4,395.65000000000003,1582.6000000000001,18.0,401.22375,1604.89501953125,High Value
64,2,636.24,1272.48,32.0,644.16626,1288.33251953125,High Value
19,12,251.5525,3018.63,1.5833333333333333,255.1823,3062.1875610351562,High Value
36,2,1204.95,2409.9,18.0,1199.1132,2398.226318359375,High Value
46,1,1635.6599999999999,1635.6599999999999,46.0,1603.6217,1603.6217041015625,High Value
119,4,277.1625,1108.65,29.75,277.8445,1111.3780517578125,High Value
303,1,84.3,84.3,303.0,80.36125,80.36125183105469,Medium Value
323,1,225.6,225.6,323.0,225.15872,225.15872192382812,High Value
50,1,427.7,427.7,50.0,427.04037,427.0403747558594,High Value
149,1,1710.39,1710.39,149.0,1725.947,1725.947021484375,High Value
22,2,1707.65,3415.3,11.0,1672.748,3345.49609375,High Value
50,5,341.624,1708.1200000000001,10.0,354.40552,1772.027587890625,High Value
33,5,577.71,2888.55,6.6,575.0427,2875.213623046875,High Value
309,2,346.66499999999996,693.3299999999999,154.5,347.45953,694.9190673828125,High Value
75,3,408.96000000000004,1226.88,25.0,393.8267,1181.4800720214844,High Value
67,3,252.70000000000002,758.1,22.333333333333332,258.63312,775.8993530273438,High Value
217,3,187.47,562.41,72.33333333333333,188.2631,564.7893218994141,High Value
3,9,405.4555555555555,3649.0999999999995,0.3333333333333333,396.42896,3567.860595703125,High Value
113,1,668.58,668.58,113.0,674.251,674.2509765625,High Value
64,1,600.39,600.39,64.0,598.555,598.5549926757812,High Value
16,4,201.76,807.04,4.0,201.72726,806.9090576171875,High Value
96,3,267.85333333333335,803.5600000000001,32.0,264.57803,793.7341003417969,High Value
1,8,232.41375,1859.31,0.125,236.80518,1894.44140625,High Value
163,2,880.48,1760.96,81.5,881.1735,1762.3470458984375,High Value
78,1,777.2,777.2,78.0,772.1921,772.1920776367188,High Value
195,1,582.73,582.73,195.0,584.5668,584.5667724609375,High Value
22,3,275.26666666666665,825.8,7.333333333333333,276.40033,829.2009887695312,High Value
26,9,884.0511111111111,7956.46,2.888888888888889,854.03284,7686.2955322265625,High Value
9,4,937.6,3750.4,2.25,943.8852,3775.540771484375,High Value
43,1,256.4,256.4,43.0,253.41676,253.41676330566406,High Value
36,15,432.49666666666667,6487.45,2.4,430.42126,6456.3189697265625,High Value
43,5,1011.8639999999999,5059.32,8.6,1031.874,5159.3701171875,High Value
1,7,1910.8385714285716,13375.87,0.14285714285714285,1846.2023,12923.415893554688,High Value
85,2,403.07,806.14,42.5,402.4803,804.9605712890625,High Value
100,1,509.01,509.01,100.0,509.29385,509.2938537597656,High Value
2,18,275.0783333333333,4951.41,0.1111111111111111,271.34436,4884.198486328125,High Value
14,2,1453.425,2906.85,7.0,1436.295,2872.590087890625,High Value
367,1,173.55,173.55,367.0,174.23735,174.2373504638672,High Value
3,1,172.06,172.06,3.0,171.00008,171.0000762939453,High Value
21,5,1001.092,5005.46,4.2,1032.8032,5164.01611328125,High Value
22,1,133.4,133.4,22.0,136.45596,136.45596313476562,Medium Value
58,1,1002.3100000000001,1002.3100000000001,58.0,975.5499,975.5499267578125,High Value
243,1,476.49,476.49,243.0,478.28482,478.2848205566406,High Value
44,1,449.45,449.45,44.0,450.59875,450.5987548828125,High Value
22,4,1016.8225,4067.29,5.5,1024.7799,4099.11962890625,High Value
156,2,98.94,197.88,78.0,96.725365,193.4507293701172,High Value
11,5,1807.104,9035.52,2.2,1773.7428,8868.713989257812,High Value
17,2,215.285,430.57,8.5,215.05127,430.1025390625,High Value
134,1,707.09,707.09,134.0,701.90753,701.9075317382812,High Value
73,6,411.1433333333334,2466.86,12.166666666666666,400.64612,2403.876708984375,High Value
44,3,1060.3466666666666,3181.04,14.666666666666666,1079.8691,3239.607421875,High Value
66,7,337.6042857142857,2363.23,9.428571428571429,336.56494,2355.95458984375,High Value
71,2,473.7,947.4,35.5,476.21545,952.430908203125,High Value
94,2,413.44,826.88,47.0,414.03268,828.0653686523438,High Value
19,2,594.795,1189.59,9.5,580.02344,1160.046875,High Value
53,4,336.195,1344.78,13.25,345.83698,1383.347900390625,High Value
10,8,151.50625,1212.05,1.25,148.685,1189.47998046875,High Value
17,2,371.09499999999997,742.1899999999999,8.5,375.8187,751.6373901367188,High Value
188,2,364.77000000000004,729.5400000000001,94.0,362.1245,724.2490234375,High Value
2,30,660.8016666666666,19824.05,0.06666666666666667,637.0384,19111.151733398438,High Value
32,7,938.8728571428571,6572.11,4.571428571428571,928.36383,6498.546813964844,High Value
29,5,787.7099999999999,3938.5499999999997,5.8,768.3325,3841.66259765625,High Value
17,18,409.7661111111111,7375.79,0.9444444444444444,393.44016,7081.922790527344,High Value
54,1,723.38,723.38,54.0,722.7572,722.7572021484375,High Value
16,11,619.6745454545454,6816.419999999999,1.4545454545454546,638.62146,7024.8360595703125,High Value
4,1,680.99,680.99,4.0,678.45764,678.4576416015625,High Value
11,1,527.2,527.2,11.0,529.9903,529.9902954101562,High Value
28,4,820.4075,3281.63,7.0,807.48456,3229.938232421875,High Value
23,10,559.632,5596.32,2.3,536.81915,5368.1915283203125,High Value
17,8,310.6225,2484.98,2.125,307.39417,2459.1533203125,High Value
33,6,756.9533333333334,4541.72,5.5,737.8086,4426.8515625,High Value
10,3,432.8866666666667,1298.66,3.3333333333333335,435.11267,1305.3380126953125,High Value
336,1,334.93,334.93,336.0,332.46112,332.46112060546875,High Value
5,10,541.793,5417.93,0.5,531.74457,5317.4456787109375,High Value
39,1,460.40000000000003,460.40000000000003,39.0,461.94363,461.9436340332031,High Value
63,2,131.60500000000002,263.21000000000004,31.5,133.47768,266.9553527832031,High Value
166,2,216.87,433.74,83.0,220.26915,440.5382995605469,High Value
16,7,178.01428571428573,1246.1000000000001,2.2857142857142856,172.62375,1208.3662414550781,High Value
82,1,1043.1,1043.1,82.0,1045.4607,1045.460693359375,High Value
21,3,134.5666666666667,403.70000000000005,7.0,135.91875,407.75624084472656,High Value
23,11,387.07454545454544,4257.82,2.090909090909091,375.75815,4133.339630126953,High Value
96,5,744.774,3723.87,19.2,731.114,3655.570068359375,High Value
18,2,241.02499999999998,482.04999999999995,9.0,242.82701,485.6540222167969,High Value
233,1,73.5,73.5,233.0,69.13272,69.13272094726562,Medium Value
134,3,434.93666666666667,1304.81,44.666666666666664,435.4359,1306.3077392578125,High Value
26,2,199.135,398.27,13.0,198.61703,397.23406982421875,High Value
284,1,176.5,176.5,284.0,174.23735,174.2373504638672,High Value
143,2,491.28499999999997,982.5699999999999,71.5,492.68085,985.3616943359375,High Value
66,2,69.015,138.03,33.0,69.6141,139.2281951904297,Medium Value
113,1,612.29,612.29,113.0,610.6933,610.6932983398438,High Value
267,1,1017.68,1017.68,267.0,1030.8755,1030.87548828125,High Value
353,1,383.7,383.7,353.0,382.9876,382.98760986328125,High Value
78,2,656.03,1312.06,39.0,655.79895,1311.597900390625,High Value
